university,school,dean_name,start_month_year,end_month_year,start_year,end_year,is_interim,origin_category,gender,prior_position_title,prior_institution,evidence_urls,confidence,note,src,action
Auburn University,Harbert College of Business,Jennifer Mueller-Phillips,Sep-23,Apr-24,2023.0,2024.0,1,Interim-Internal,F,Associate Dean for Academic Affairs and Director of the School of Accountancy,"Harbert College of Business, Auburn University","['https://harbert.auburn.edu/news/mueller-phillips-named-harbert-college-of-business-interim-dean.html', 'https://harbert.auburn.edu/news/auburn-names-jennifer-mueller-phillips-as-new-dean-of-harbert-college-business.html']",high,"Mueller-Phillips served as INTERIM dean from Sep 15, 2023 (succeeding Joe Hanna's second interim term) until being named permanent ninth dean effective May 1, 2024 following a national search. The existing row_index 19 currently starts her tenure at Sep-23 with is_interim=0, which incorrectly extends her permanent/non-interim status back to the interim start. Recommend adding this interim spell and moving row 19's start to May-24 (see row_index 19 correction).",batch_00_findings.json,skipped_already_present
Case Western Reserve University,Weatherhead School of Management,J.B. Silvers and Andrew Medvedev (interim co-deans),Sep-22,Jun-24,2022.0,2024.0,1,Interim-Internal,M,"Associate Dean for Finance (Silvers) / Board of Trustees member, Managing Director Morgan Stanley Infrastructure Partners (Medvedev)",Case Western Reserve University (internal),"['https://case.edu/weatherhead/about/news-and-events/news/case-western-reserve-names-interim-deans-lead-weatherhead-school-management', 'https://poetsandquants.com/2022/06/23/not-one-but-two-interim-deans-to-lead-weatherhead/']",high,"Co-interim-dean arrangement bridging Malhotra's Aug 2022 departure and Medvedev's July 2024 permanent appointment. Dataset currently jumps straight from Malhotra to 'Nita Mehrotra Medvedev' (2022), missing this two-year interim co-dean period and misnaming/misdating the successor.",batch_01_findings.json,skipped_placeholder_or_combined
Chapman University,Argyros College of Business and Economics,Amy Zeng,"Aug-26 (approx, fall semester start)",current,2026.0,,0,External,F,"Dean, Sawyer School of Business",Suffolk University,"['https://news.chapman.edu/2026/05/12/amy-zeng-announced-as-next-dean-to-lead-argyros-college-of-business-economics/', 'https://www.ocbj.com/education/chapman-names-zeng-dean-of-argyros-college/']",medium,"Announced May 12, 2026 as the new permanent dean of Argyros College following Thomas Turk's interim spell; exact start date not stated in sources beyond 'fall semester 2026'. Previously also dean at University of Hartford's Barney School of Business. This succession is very recent (after most of the dataset's coverage window) and should be added as the next row after Turk's interim spell (row 64), with Turk's interim end_month_year updated accordingly.",batch_01_findings.json,added
Case Western Reserve University,Weatherhead School of Management,J.B. Silvers,Sep-2022,Jun-2024,2022.0,2024.0,1,Interim-Internal,M,Associate Dean for Finance,Case Western Reserve University (Weatherhead School of Management),"['https://case.edu/provost/case-western-reserve-names-interim-deans-lead-weatherhead-school-management', 'https://thedaily.case.edu/5-questions-with-andrew-medvedev-and-j-b-silvers-interim-co-deans-of-weatherhead-school-of-management/']",high,"Co-interim-dean alongside Andrew Medvedev, Sept 1 2022 through Medvedev's permanent appointment July 2024; Silvers then moved to emeritus/senior fellow status (retirement effective ~Jun 30, 2024). This entirely fills the gap the task flagged between Malhotra's true departure (Aug 2022) and Medvedev's permanent start (Jul 2024).",batch_01_part3_findings.json,added
Case Western Reserve University,Weatherhead School of Management,Andrew Medvedev,Sep-2022,Jun-2024,2022.0,2024.0,1,Interim-External,M,"Chair, Weatherhead Visiting Committee; CWRU Board of Trustees member; Managing Director, Morgan Stanley Investment Management",Morgan Stanley,"['https://case.edu/provost/case-western-reserve-names-interim-deans-lead-weatherhead-school-management', 'https://case.edu/weatherhead/about/our-school/meet-dean']",high,"Medvedev's own tenure should logically be split into two spells: interim co-dean (Sep 2022-Jun 2024) and permanent dean (Jul 2024-present, as currently captured in row 57 after the name/date correction). This entry represents the missing earlier interim portion of his tenure.",batch_01_part3_findings.json,added
Colorado State University,College of Business,Ronn Smith,Jul-26,current,2026.0,,0,External,M,Senior Associate Dean and Professor of Marketing,University of Wyoming,"['https://president.colostate.edu/speeches-and-writing/announcing-dr-ronn-smith-as-dean-of-the-college-of-business/', 'https://collegian.com/articles/news/2026/03/category-news-beth-walker-retires-as-dean-of-college-of-business/']",high,"Named successor to Beth Walker, effective July 1, 2026, immediately following her June 30, 2026 departure; no gap.",batch_02_findings.json,added
Cornell University,Johnson School of Management,Thomas R. Dyckman,Jul-96,Jun-97,1996.0,1997.0,1,Interim-Internal,M,Ann Whitney Olin Professor of Accounting and Quantitative Analysis; former Associate Dean,Cornell University Johnson School (internal),['https://aaahq.org/Accounting-Hall-of-Fame/Members/2009/Thomas-Richard-Dyckman'],medium,"WebSearch result and Dyckman's AAA Hall of Fame bio ('served ... two years as Acting Dean') both indicate he served as Acting/Interim Dean bridging Alan Merten's departure (mid-1996) and Robert Swieringa's start (1997); exact months not confirmed by a primary Cornell source, so treat dates as approximate.",batch_02_findings.json,added
Dartmouth College,Tuck School of Business,Edward A. Fox,1990,1994,1990.0,1994.0,0,Unknown,M,Unknown,Unknown,"['https://tuck.dartmouth.edu/news/articles/david-g.-lubrano-t56', 'https://tuck.dartmouth.edu/news/articles/the-right-stuff']",medium,Confirmed to have served as dean between Colin Blaydon's first term (1983-1990) and Blaydon's 1994-95 interim stint; resigned in 1994 'after one term.' Exact start year not directly confirmed (inferred from Blaydon's 1990 term end); currently entirely absent from the dataset row set.,batch_02_findings.json,added
Emory University,Goizueta Business School,Maryam Alavi,Jun-13,Jul-14,2013.0,2014.0,1,Interim-Internal,Female,"Vice Dean, Goizueta Business School",Emory University (internal),"['https://news.emory.edu/stories/2013/06/er_alavi_gbs_interim_dean/campus.html', 'https://poetsandquants.com/2014/03/25/emorys-interim-dean-jumps-to-georgia-tech/']",high,"Hidden interim dean missing between Benveniste (ended Feb 2013) and Erika James (started Jul-2014). Named interim dean June 24, 2013; served approx. 9 months as of March 2014 when she was named permanent dean of Georgia Tech Scheller College of Business (effective Jul 1, 2014), meaning her Goizueta interim term ran roughly June/July 2013 through July 2014, directly bridging to James's start. Also served an earlier interim stint 'first half of 2005' per Poets&Quants (before Benveniste's start), but that period is well before the Robertson-Benveniste transition and not flagged as a gap since Robertson (end 2004) to Benveniste (start 2005) is a same-year/adjacent-year transition -- worth noting Alavi may have also briefly bridged Robertson to Benveniste in early-to-mid 2005, though this is lower confidence and not separately added as a row given insufficient date specificity.",batch_03_findings_part1.json,added
MIT,MIT Sloan School of Management,Richard L. Schmalensee,Jul-98,Oct-98,1998.0,1998.0,1,Interim-Internal,Male,Deputy Dean,MIT Sloan School of Management,['https://news.mit.edu/1998/dean-1028'],high,"Schmalensee served as interim dean from when Urban's term ended (Jul 1998) until his permanent appointment was announced Oct 28 1998, per MIT News: 'has been interim dean at Sloan since Glen L. Urban completed his five-year term in July.' This interim spell should precede row 201's permanent (Internal, non-interim) spell of Oct-98 to Jun-07 for the same person.",batch_05_findings_part3.json,skipped_already_present
