row,field,action,old,new,evidence,confidence,src
13,appointment_start_year,applied,2003,2000,https://harbert.auburn.edu/resources/timeline/index.html,high,batch_00_findings.json
13,notes,applied_notes,Bobby Lowder Distinguished Professor | Confirmed interim: served Aug 2003 to mid-2004. Previously miscoded as 2000-2004.,Bobby Lowder Distinguished Professor | Interim dean Aug 2000 - 2004 (named interim dean Aug 2000 per Harbert timeline; still 'Interim Dean' as of July 2003 per Auburn University Senate minutes; Bobrowski joined Aug 2004). The row's start_month_year field ('Aug-00') was already correct; only the numeric start_year field (2003) needs correction to 2000.,https://www.auburn.edu/administration/governance/senate/minutes/2002_2003/min_7_8_2003.html,high,batch_00_findings.json
19,appointment_start_month_year,applied,Sep-23,May-24,https://harbert.auburn.edu/news/auburn-names-jennifer-mueller-phillips-as-new-dean-of-harbert-college-business.html,high,batch_00_findings.json
19,appointment_start_year,applied,2023,2024,https://harbert.auburn.edu/news/auburn-names-jennifer-mueller-phillips-as-new-dean-of-harbert-college-business.html,high,batch_00_findings.json
28,appointment_end_year,applied,2005,2000,"https://www.bc.edu/content/dam/bc1/schools/carroll/faculty/PDFs/Taggart,%20Bob%20CV.pdf",high,batch_00_findings.json
28,appointment_start_year,applied,2004,1999,"https://www.bc.edu/content/dam/bc1/schools/carroll/faculty/PDFs/Taggart,%20Bob%20CV.pdf",high,batch_00_findings.json
34,dean_name,applied,Adam Magid,Bruce R. Magid,https://www.brandeis.edu/now/2016/july/bruce-magid-announcement.html,high,batch_01_findings.json
34,has_prior_dean_exp,applied,0,1,https://www.brandeis.edu/now/2016/july/bruce-magid-announcement.html,high,batch_01_findings.json
34,prior_institution,applied,Brandeis International Business School,San José State University,https://www.brandeis.edu/now/2016/july/bruce-magid-announcement.html,high,batch_01_findings.json
34,prior_position_title,applied,Associate Dean,"Dean, Lucas Graduate School of Business",https://www.brandeis.edu/now/2016/july/bruce-magid-announcement.html,high,batch_01_findings.json
37,dean_name,applied,Thi Bui,Linda T.M. Bui,https://www.brandeis.edu/global/news/2025/interim-dean-linda-bui.html,high,batch_01_findings.json
37,prior_position_title,applied,Associate Dean,Senior Associate Provost for Assessment and Accreditation,https://www.brandeis.edu/global/news/2025/interim-dean-linda-bui.html,high,batch_01_findings.json
45,origin_category,applied,Internal,External,https://today.uconn.edu/2012/03/john-a-elliott-named-dean-of-uconns-school-of-business/,high,batch_01_part2_findings.json
48,source_url,applied,https://www.albany.edu/business/faculty/paquita-davis-friday,https://provost.baruch.cuny.edu/messages/leadership-transition-at-the-zicklin-school-of-business/,,high,batch_01_part2_findings.json
51,appointment_start_month_year,applied,2002,Jul-02,https://www.cmu.edu/tepper/anniversary/profiles/deans/ken-dunn.html,high,batch_01_findings.json
54,start_month_year,skipped_unknown_field,Oct-20,"Oct-20 (start date more precisely Oct 15, 2020)",https://www.cmu.edu/news/stories/archives/2020/july/bajeux-besnainou-named-tepper-dean.html,high,batch_01_part2_findings.json
55,source_url,applied,,https://case.edu/weatherhead/about/faculty-and-staff-directory/robert-widing,https://case.edu/weatherhead/about/faculty-and-staff-directory/robert-widing,high,batch_01_findings.json
56,appointment_end_month_year,applied,2024,Aug-22,https://case.edu/news/weatherhead-school-dean-will-not-seek-second-term,high,batch_01_findings.json
56,appointment_end_year,applied,2024,2022,https://case.edu/news/weatherhead-school-dean-will-not-seek-second-term,high,batch_01_findings.json
57,appointment_start_month_year,applied,2022,Jul-24,https://case.edu/think/fall2024/a-new-chapter-at-the-weatherhead-school.html,high,batch_01_findings.json
57,appointment_start_year,applied,2022,2024,https://case.edu/think/fall2024/a-new-chapter-at-the-weatherhead-school.html,high,batch_01_findings.json
57,dean_name,applied,Nita Mehrotra Medvedev,Andrew Medvedev,https://case.edu/weatherhead/about/faculty-and-staff-directory/andrew-medvedev,high,batch_01_findings.json
57,is_interim,applied,0,"0 (permanent dean from Jul 1, 2024; was interim co-dean Sep 2022-Jun 2024)",https://case.edu/provost/case-western-reserve-names-interim-deans-lead-weatherhead-school-management,high,batch_01_part3_findings.json
57,prior_institution,applied,Morgan Stanley,Morgan Stanley Investment Management (also interim co-dean at Weatherhead 2022-2024),https://case.edu/weatherhead/about/news-and-events/news/five-things-you-may-not-know-about-dean-andrew-medvedev,high,batch_01_findings.json
57,prior_position_title,applied,Managing Director,Managing Director and Portfolio Manager,https://case.edu/weatherhead/about/news-and-events/news/five-things-you-may-not-know-about-dean-andrew-medvedev,medium,batch_01_findings.json
64,next_role,applied,Still_serving,"Retired_or_emeritus (interim ended, successor named)",https://www.ocbj.com/education/chapman-names-zeng-dean-of-argyros-college/,medium,batch_01_findings.json
67,origin,skipped_unknown_field,Internal,External,https://en.wikipedia.org/wiki/Claude_Lilly,high,batch_01_part3_findings.json
67,dean_name,applied,James Simpson,Claude C. Lilly,https://en.wikipedia.org/wiki/Claude_Lilly,high,batch_01_part3_findings.json
67,is_interim,applied,1,0,https://www.prnewswire.com/news-releases/dr-claude-lilly-named-17th-president-of-presbyterian-college-161256505.html,high,batch_01_part3_findings.json
67,prior_institution,skipped_old_mismatch,Clemson University,University of North Carolina at Charlotte,https://www.prnewswire.com/news-releases/dr-claude-lilly-named-17th-president-of-presbyterian-college-161256505.html,high,batch_01_part3_findings.json
67,prior_position_title,applied,Associate Dean,"Dean, Belk College of Business Administration",https://www.prnewswire.com/news-releases/dr-claude-lilly-named-17th-president-of-presbyterian-college-161256505.html,high,batch_01_part3_findings.json
68,is_interim,applied,1,0,https://wsnwradio.com/clemson-names-interim-dean-of-business-and-behavioral-science-college/,medium,batch_01_part3_findings.json
68,origin_category,applied,Internal,Interim-Internal,https://wsnwradio.com/clemson-names-interim-dean-of-business-and-behavioral-science-college/,high,batch_01_findings.json
69,is_interim,applied,0,1 (at least initially),https://wsnwradio.com/clemson-names-interim-dean-of-business-and-behavioral-science-college/,medium,batch_01_findings.json
