appointment_id,institution_id,seat_id,seat_level,source_index,title_verbatim,unit_name,person_id,start_date,start_precision,end_date,end_precision,end_date_suppressed,is_current,is_interim,is_interim_legacy,interim_evidence,interim_evidence_quote,interim_override,interim_override_reason,interim_diverges_from_legacy,title_is_compound,converted_to_permanent,linked_permanent_id,predecessor_appointment_id,appointment_seq,is_left_censored,last_verified_date,announcement_date,search_start_date,search_firm,is_internal_hire,source_url
US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW-1850-1,US-DUKE-UNIVERSITY,US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW,dean,r1-lawschool-deans.json,,Duke University School of Law,P00001,1850-01-01,year,1882-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://law.duke.edu/history/deans/
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1852-1,US-UNIVERSITY-OF-PENNSYLVANIA,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,dean,r1-lawschool-deans.json,,University of Pennsylvania Carey Law School,P00002,1852-01-01,year,1868-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://archives.upenn.edu/exhibits/penn-people/notables/university-leaders/deans/law-school-deans/
US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL-1857-1,US-BAYLOR-UNIVERSITY,US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL,dean,r1-lawschool-deans.json,,Baylor Law School,P00003,1857-01-01,year,1860-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://lawdeans.com/schoolprofile.php?UID=23
US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL-1858-1,US-COLUMBIA-UNIVERSITY,US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL,dean,r1-lawschool-deans.json,,Columbia Law School,P00004,1858-01-01,year,1891-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://www.lawdeans.com/schoolprofile.php?UID=34
US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL-1866-2,US-BAYLOR-UNIVERSITY,US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL,dean,r1-lawschool-deans.json,,Baylor Law School,P00005,1866-01-01,year,1871-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL-1857-1,2,FALSE,,,,,,https://lawdeans.com/schoolprofile.php?UID=23
US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY-1866-1,US-UNIVERSITY-OF-SOUTH-CAROLINA,US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY,dean,r1-pharmacy-deans.json,,College of Pharmacy,P00006,1866-01-01,year,1870-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://sc.edu/study/colleges_schools/pharmacy/about/our_history/deans/index.php
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1868-2,US-UNIVERSITY-OF-PENNSYLVANIA,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,dean,r1-lawschool-deans.json,,University of Pennsylvania Carey Law School,P00007,1868-01-01,year,1872-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1852-1,2,FALSE,,,,,,https://archives.upenn.edu/exhibits/penn-people/notables/university-leaders/deans/law-school-deans/
US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE-1870-1,US-UNIVERSITY-OF-MISSOURI,US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE,dean,r1-agschool-deans.json,"Dean, College of Agriculture and Mechanical Arts","College of Agriculture, Food and Natural Resources",P00008,1870-01-01,year,1882-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,"Dean, College of Agriculture and Mechanical Arts",FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,TRUE,https://cafnr.missouri.edu/about-cafnr/history/
US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV-1873-1,US-BOSTON-UNIVERSITY,US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV,dean,r1-medschool-deans.json,,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,P00009,1873-01-01,year,1899-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://www.bumc.bu.edu/medlib/resources/reference-tools/deans/
US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES-1873-1,US-BOSTON-UNIVERSITY,US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,dean,r1-arts-deans.json,Founding Dean,College of Arts & Sciences,P00010,1873-01-01,year,1882-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Founding Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,TRUE,https://www.bu.edu/cas/deans-of-the-college/
