appointment_id,seat_id,exit_effective_date,exit_effective_precision,exit_announcement_date,exit_announcement_precision,announcement_source_url,announcement_source_type,successor_status_at_announcement,successor_appointment_id,departure_statement_quote,term_end_scheduled,exit_circumstance,circumstance_evidence,circumstance_confidence,destination_raw,coder_id,coded_date,source_url
US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW-1850-1,US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW,1882-01-01,year,,,,,,US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW-1891-2,,,,,,,,,https://law.duke.edu/history/deans/
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1852-1,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,1868-01-01,year,,,,,,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1868-2,,,,,,,,,https://archives.upenn.edu/exhibits/penn-people/notables/university-leaders/deans/law-school-deans/
US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL-1857-1,US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL,1860-01-01,year,,,,,,US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL-1866-2,,,,,,,,,https://lawdeans.com/schoolprofile.php?UID=23
US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL-1858-1,US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL,1891-01-01,year,,,,,,US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL-1891-2,,,,,,,,,https://www.lawdeans.com/schoolprofile.php?UID=34
US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL-1866-2,US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL,1871-01-01,year,,,,,,US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL-1920-3,,,,,,,,,https://lawdeans.com/schoolprofile.php?UID=23
US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY-1866-1,US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY,1870-01-01,year,,,,,,US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY-1888-2,,,,,,,,,https://sc.edu/study/colleges_schools/pharmacy/about/our_history/deans/index.php
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1868-2,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,1872-01-01,year,,,,,,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1874-3,,,,,,,,,https://archives.upenn.edu/exhibits/penn-people/notables/university-leaders/deans/law-school-deans/
US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE-1870-1,US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE,1882-01-01,year,,,,,,US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE-1882-2,,,,,,,,,https://cafnr.missouri.edu/about-cafnr/history/
US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV-1873-1,US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV,1899-01-01,year,,,,,,US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV-1899-2,,,,,,,,,https://www.bumc.bu.edu/medlib/resources/reference-tools/deans/
US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES-1873-1,US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,1882-01-01,year,,,,,,US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES-1882-2,,,,,,,,,https://www.bu.edu/cas/deans-of-the-college/
