institution_id,year,fall_enrollment_total
US-DUKE-UNIVERSITY,2000,12192
US-DUKE-UNIVERSITY,2001,11926
US-DUKE-UNIVERSITY,2002,12488
US-DUKE-UNIVERSITY,2003,12223
US-DUKE-UNIVERSITY,2004,12770
US-DUKE-UNIVERSITY,2005,14075
US-DUKE-UNIVERSITY,2006,13373
US-DUKE-UNIVERSITY,2007,13598
US-DUKE-UNIVERSITY,2008,14060
US-DUKE-UNIVERSITY,2009,14350
US-DUKE-UNIVERSITY,2010,15016
US-DUKE-UNIVERSITY,2011,15427
US-DUKE-UNIVERSITY,2012,15386
US-DUKE-UNIVERSITY,2013,15467
US-DUKE-UNIVERSITY,2014,15856
US-DUKE-UNIVERSITY,2015,15984
US-DUKE-UNIVERSITY,2016,15735
US-DUKE-UNIVERSITY,2017,16130
US-DUKE-UNIVERSITY,2018,17048
US-DUKE-UNIVERSITY,2019,16768
US-DUKE-UNIVERSITY,2020,16172
US-DUKE-UNIVERSITY,2021,17620
US-DUKE-UNIVERSITY,2022,18023
US-DUKE-UNIVERSITY,2023,17112
US-DUKE-UNIVERSITY,2024,
US-UNIVERSITY-OF-PENNSYLVANIA,2000,21853
US-UNIVERSITY-OF-PENNSYLVANIA,2001,22326
US-UNIVERSITY-OF-PENNSYLVANIA,2002,22769
US-UNIVERSITY-OF-PENNSYLVANIA,2003,23243
US-UNIVERSITY-OF-PENNSYLVANIA,2004,23305
US-UNIVERSITY-OF-PENNSYLVANIA,2005,23704
US-UNIVERSITY-OF-PENNSYLVANIA,2006,23743
US-UNIVERSITY-OF-PENNSYLVANIA,2007,23980
US-UNIVERSITY-OF-PENNSYLVANIA,2008,24107
US-UNIVERSITY-OF-PENNSYLVANIA,2009,24599
US-UNIVERSITY-OF-PENNSYLVANIA,2010,25007
US-UNIVERSITY-OF-PENNSYLVANIA,2011,24832
US-UNIVERSITY-OF-PENNSYLVANIA,2012,24725
US-UNIVERSITY-OF-PENNSYLVANIA,2013,24630
US-UNIVERSITY-OF-PENNSYLVANIA,2014,24806
US-UNIVERSITY-OF-PENNSYLVANIA,2015,24876
US-UNIVERSITY-OF-PENNSYLVANIA,2016,24960
US-UNIVERSITY-OF-PENNSYLVANIA,2017,25367
