person_id,full_name,gender,highest_degree,degree_field,doctoral_institution_id,prior_position_title,prior_position_institution_id,prior_dean_experience,prior_president_experience,person_birth_year,first_appearance_year
P00001,Braxton Craven,m,phd,,,,,,,,1850
P00002,George Sharswood,m,phd,,,,,,,,1852
P00003,Royall T. Wheeler,m,phd,,,,,,,,1857
P00004,Theodore William Dwight,m,phd,,,,,,,,1858
P00005,James E. Shepard,m,phd,,,,,,,,1866
P00006,Joseph LeConte,m,phd,,,,,,,,1866
P00007,Elihu Spencer Miller,m,phd,,,,,,,,1868
P00008,George Clinton Swallow,m,phd,,,"State Geologist of Missouri; Professor, University of Missouri",,,,,1870
P00009,Israel Tisdale Talbot,m,phd,,,,,,,,1873
P00010,John W. Lindsay,m,phd,,,"Founding faculty, College of Liberal Arts, BU",,,,,1873
P00011,Edward Coppee Mitchell,m,phd,,,,,,,,1874
P00012,Albert B. Prescott,m,phd,,,Professor of chemistry; organized the School of Pharmacy,,,,,1876
P00013,George E. Morrow,m,phd,,,,,,,,1878
P00014,Seaman Knapp,m,phd,,,,,,,,1879
P00015,Millikan Stalker,m,phd,,,Professor of veterinary science,,,,,1879
P00016,William A. Henry,m,phd,,,,,,,,1880
P00017,William Edward Huntington,m,phd,,,"Professor of Ethics and History, BU",,,,,1882
P00018,J.W. Sanborn,m,phd,,,,,,,,1882
P00019,Joseph Sewall,m,phd,,,,,,,,1883
P00020,James Kimball,m,phd,,,,,,,,1884
P00021,Rush Shippen Huidekoper,m,phd,,,"Physician (MD, Penn 1877) who had just completed veterinary training in France",,,,,1884
P00022,E. L. Boerner,m,phd,,,,,,,,1885
P00023,Lucius E. Sayre,m,phd,,,,,,,,1885
P00024,H. J. Detmers,m,phd,,,Professor of Veterinary Medicine (appointed to Ohio State's first separate veterinary professorship in 1884),US-OHIO-STATE-UNIVERSITY,,,,1885
P00025,Douglass Boardman,m,phd,,,,,,,,1887
P00026,George Tucker Bispham,m,phd,,,,,,,,1887
P00027,William S. Pattee,m,phd,,,,,,,,1888
P00028,Christopher Stuart Patterson,m,phd,,,,,,,,1888
P00029,Isaac P. Roberts,m,phd,,,"Professor of Agriculture, Cornell University",,,,,1888
