seat_id,year_from,year_to,coverage,method,researcher_id,researched_date
US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW,1850,2026,not_researched,none,,
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,1852,2026,not_researched,none,,
US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL,1857,2026,not_researched,none,,
US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL,1858,2026,not_researched,none,,
US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY,1866,2026,not_researched,none,,
US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE,1870,2026,not_researched,none,,
US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV,1873,2026,not_researched,none,,
US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,1873,2026,not_researched,none,,
US-UNIVERSITY-OF-MICHIGAN-D-COLLEGE-OF-PHARMACY,1876,2026,not_researched,none,,
US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN-D-COLLEGE-OF-AGRICULTURAL-CONSUMER-AND-ENVIRONMENT,1878,2026,not_researched,none,,
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES,1879,2026,not_researched,none,,
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,1879,2026,not_researched,none,,
US-UNIVERSITY-OF-WISCONSIN-MADISON-D-COLLEGE-OF-AGRICULTURAL-AND-LIFE-SCIENCES,1880,2026,not_researched,none,,
US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE,1883,2026,not_researched,none,,
US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE,1884,2026,not_researched,none,,
US-UNIVERSITY-OF-IOWA-D-COLLEGE-OF-PHARMACY,1885,2026,not_researched,none,,
US-UNIVERSITY-OF-KANSAS-D-SCHOOL-OF-PHARMACY,1885,2026,not_researched,none,,
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,1885,2026,not_researched,none,,
US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL,1887,2026,not_researched,none,,
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-UNIVERSITY-OF-MINNESOTA-LAW-SCHOOL,1888,2026,not_researched,none,,
US-CORNELL-UNIVERSITY-D-NEW-YORK-STATE-COLLEGE-OF-AGRICULTURE-AND-LIFE-S,1888,2026,not_researched,none,,
US-UNIVERSITY-OF-TENNESSEE-KNOXVILLE-D-UNIVERSITY-OF-TENNESSEE-WINSTON-COLLEGE-OF-LAW,1890,2026,not_researched,none,,
US-UNIVERSITY-BUFFALO-D-SCHOOL-OF-PHARMACY-AND-PHARMACEUTICAL-SCIENCES,1890,2026,not_researched,none,,
US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN,1891,1984,not_researched,none,,
US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN,1985,2026,researched_partial,web_search,,
US-UNIVERSITY-OF-COLORADO-BOULDER-D-UNIVERSITY-OF-COLORADO-LAW-SCHOOL,1892,2026,not_researched,none,,
US-UNIVERSITY-OF-KANSAS-D-COLLEGE-OF-LIBERAL-ARTS-AND-SCIENCES,1892,2026,not_researched,none,,
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-FOOD-AGRICULTURAL-AND-ENVIRONMENTAL-S,1892,2026,not_researched,none,,
