seat_id,source_index,unit_name_observed
US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW,r1-lawschool-deans.json,Duke University School of Law
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,r1-lawschool-deans.json,University of Pennsylvania Carey Law School
US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL,r1-lawschool-deans.json,Baylor Law School
US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL,r1-lawschool-deans.json,Columbia Law School
US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY,r1-pharmacy-deans.json,College of Pharmacy
US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE,r1-agschool-deans.json,"College of Agriculture, Food and Natural Resources"
US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV,r1-medschool-deans.json,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine
US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,r1-arts-deans.json,College of Arts & Sciences
US-UNIVERSITY-OF-MICHIGAN-D-COLLEGE-OF-PHARMACY,r1-pharmacy-deans.json,College of Pharmacy
US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN-D-COLLEGE-OF-AGRICULTURAL-CONSUMER-AND-ENVIRONMENT,r1-agschool-deans.json,"College of Agricultural, Consumer and Environmental Sciences (ACES)"
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES,r1-agschool-deans.json,College of Agriculture and Life Sciences (CALS)
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,r1-vet-deans.json,College of Veterinary Medicine
US-UNIVERSITY-OF-WISCONSIN-MADISON-D-COLLEGE-OF-AGRICULTURAL-AND-LIFE-SCIENCES,r1-agschool-deans.json,College of Agricultural and Life Sciences
US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE,r1-medschool-deans.json,University of Colorado School of Medicine (Anschutz Medical Campus)
US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE,r1-vet-deans.json,School of Veterinary Medicine
US-UNIVERSITY-OF-IOWA-D-COLLEGE-OF-PHARMACY,r1-pharmacy-deans.json,College of Pharmacy
US-UNIVERSITY-OF-KANSAS-D-SCHOOL-OF-PHARMACY,r1-pharmacy-deans.json,School of Pharmacy
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,r1-vet-deans.json,College of Veterinary Medicine
US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL,r1-lawschool-deans.json,Cornell Law School
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-UNIVERSITY-OF-MINNESOTA-LAW-SCHOOL,r1-lawschool-deans.json,University of Minnesota Law School
US-CORNELL-UNIVERSITY-D-NEW-YORK-STATE-COLLEGE-OF-AGRICULTURE-AND-LIFE-S,r1-agschool-deans.json,New York State College of Agriculture and Life Sciences (CALS)
US-UNIVERSITY-OF-TENNESSEE-KNOXVILLE-D-UNIVERSITY-OF-TENNESSEE-WINSTON-COLLEGE-OF-LAW,r1-lawschool-deans.json,University of Tennessee Winston College of Law
US-UNIVERSITY-BUFFALO-D-SCHOOL-OF-PHARMACY-AND-PHARMACEUTICAL-SCIENCES,r1-pharmacy-deans.json,School of Pharmacy and Pharmaceutical Sciences
US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN,r1-pharmacy-deans.json,Arnold & Marie Schwartz College of Pharmacy and Health Sciences
