seat_id,institution_id,seat_level,unit_type,canonical_name,reports_to,reports_to_source_url,reports_to_year_observed,created_year,dissolved_year,predecessor_seat_id
US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW,US-DUKE-UNIVERSITY,dean,law,Duke University School of Law,,,,,,
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,US-UNIVERSITY-OF-PENNSYLVANIA,dean,law,University of Pennsylvania Carey Law School,,,,,,
US-BAYLOR-UNIVERSITY-D-BAYLOR-LAW-SCHOOL,US-BAYLOR-UNIVERSITY,dean,law,Baylor Law School,,,,,,
US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL,US-COLUMBIA-UNIVERSITY,dean,law,Columbia Law School,,,,,,
US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-SOUTH-CAROLINA,dean,pharmacy,College of Pharmacy,,,,,,
US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE,US-UNIVERSITY-OF-MISSOURI,dean,agriculture,"College of Agriculture, Food and Natural Resources",,,,,,
US-BOSTON-UNIVERSITY-D-BOSTON-UNIVERSITY-ARAM-V-CHOBANIAN-AND-EDWARD-AV,US-BOSTON-UNIVERSITY,dean,medicine,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,,,,,,
US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,US-BOSTON-UNIVERSITY,dean,arts_sciences,College of Arts & Sciences,,,,,,
US-UNIVERSITY-OF-MICHIGAN-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-MICHIGAN,dean,pharmacy,College of Pharmacy,,,,,,
US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN-D-COLLEGE-OF-AGRICULTURAL-CONSUMER-AND-ENVIRONMENT,US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN,dean,agriculture,"College of Agricultural, Consumer and Environmental Sciences (ACES)",,,,,,
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES,US-IOWA-STATE-UNIVERSITY,dean,agriculture,College of Agriculture and Life Sciences (CALS),,,,,,
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,US-IOWA-STATE-UNIVERSITY,dean,veterinary,College of Veterinary Medicine,,,,,,
US-UNIVERSITY-OF-WISCONSIN-MADISON-D-COLLEGE-OF-AGRICULTURAL-AND-LIFE-SCIENCES,US-UNIVERSITY-OF-WISCONSIN-MADISON,dean,agriculture,College of Agricultural and Life Sciences,,,,,,
US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE,US-UNIVERSITY-OF-COLORADO-DENVER,dean,medicine,University of Colorado School of Medicine (Anschutz Medical Campus),,,,,,
US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE,US-UNIVERSITY-OF-PENNSYLVANIA,dean,veterinary,School of Veterinary Medicine,,,,,,
US-UNIVERSITY-OF-IOWA-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-IOWA,dean,pharmacy,College of Pharmacy,,,,,,
